Timestamp,Texture1,Texture2,Texture3,Texture4,Texture5,Texture6,Texture7,Texture8
2023-09-20 10:36:30.508,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:30.709,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:30.913,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:31.118,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:36:31.319,0.00,0.69,0.00,0.00,0.31,0.00,0.00,0.00
2023-09-20 10:36:31.524,0.00,0.69,0.00,0.00,0.31,0.00,0.00,0.00
2023-09-20 10:36:31.730,0.00,0.69,0.00,0.00,0.31,0.00,0.00,0.00
2023-09-20 10:36:31.932,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:36:32.136,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:36:32.342,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:36:32.546,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:36:32.747,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:36:32.947,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:36:33.148,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:36:33.360,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:36:33.563,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:36:33.766,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:36:33.968,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:36:34.169,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:36:34.371,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:36:34.574,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:36:34.777,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:36:34.980,0.00,0.69,0.00,0.00,0.31,0.00,0.00,0.00
2023-09-20 10:36:35.187,0.00,0.87,0.00,0.00,0.13,0.00,0.00,0.00
2023-09-20 10:36:35.387,0.00,0.87,0.00,0.00,0.13,0.00,0.00,0.00
2023-09-20 10:36:35.589,0.00,0.87,0.00,0.00,0.13,0.00,0.00,0.00
2023-09-20 10:36:35.790,0.00,0.87,0.00,0.00,0.13,0.00,0.00,0.00
